date,SENT^,SENT,pdnd,ripo,nipo,cefd,s,nan,indpro,consdur,consnon,consserv,recess,employ,cpi
1958-01-31,,,,,,,,,20.7694,,,,1,52076,28.6
1958-02-28,,,,,,,,,20.3263,,,,1,51576,28.6
1958-03-31,,,,,,,,,20.0771,,,,1,51299,28.8
1958-04-30,,,,,,,,,19.7448,,,,1,51027,28.9
1958-05-31,,,,,,,,,19.9386,,,,0,50914,28.9
1958-06-30,,,,,,,,,20.4648,,,,0,50914,28.9
1958-07-31,,,,,,,,,20.7694,,,,0,51039,29.0
1958-08-31,,,,,,,,,21.1848,,,,0,51233,28.9
1958-09-30,,,,,,,,,21.3787,,,,0,51506,28.9
1958-10-31,,,,,,,,,21.6279,,,,0,51485,28.9
1958-11-30,,,,,,,,,22.2648,,,,0,51944,29.0
1958-12-31,,,,,,,0.16483516483516483,,22.2925,,,,0,52085,28.9
1959-01-31,,,,,,,0.1714574564957087,,22.6248,42.3,125.1,138.7,0,52478,29.0
1959-02-28,,,,,,,0.1747897456682541,,23.0679,44.2,125.4,140.0,0,52688,28.9
1959-03-31,,,,,,,0.19719145100457813,,23.4002,44.4,127.7,140.5,0,53014,28.9
1959-04-30,,,,,,,0.2203179981754203,,23.8987,45.1,125.6,141.5,0,53321,29.0
1959-05-31,,,,,,,0.22596762105839976,,24.2587,45.4,128.0,142.8,0,53550,29.0
1959-06-30,,,,,,,0.2465600233383576,,24.2864,46.0,127.9,144.3,0,53681,29.1
1959-07-31,,,,,,,0.2452797550575598,,23.7048,45.4,127.3,145.1,0,53804,29.2
1959-08-31,,,,,,,0.24558243849395137,,22.9017,46.2,127.9,146.1,0,53336,29.2
1959-09-30,,,,,,,0.26404869323794017,,22.8741,47.4,129.4,147.4,0,53428,29.3
1959-10-31,,,,,,,0.2674532067772554,,22.7079,44.8,129.8,148.3,0,53358,29.4
1959-11-30,,,,,,,0.2683047310820594,,22.8464,44.7,129.0,149.2,0,53634,29.4
1959-12-31,,,,,,,0.26243972504360313,,24.2587,42.8,129.7,150.4,0,54174,29.4
1960-01-31,,,,13.8,16.0,,0.26530451384631554,,24.8956,43.2,129.6,150.8,0,54274,29.3
1960-02-29,,,,8.0,16.0,,0.2553217647885345,,24.6741,45.7,128.4,151.2,0,54513,29.4
1960-03-31,,,,19.4,21.0,,0.2513485743642435,,24.4525,47.4,130.8,151.9,0,54454,29.4
1960-04-30,,,,15.9,16.0,,0.24602377074742715,,24.2587,49.1,134.1,153.3,0,54813,29.5
1960-05-31,,,,25.3,19.0,,0.25081204849216354,,24.231,45.7,130.3,154.0,1,54475,29.5
1960-06-30,,,,30.6,40.0,,0.2412481767034799,,23.9264,44.5,131.5,154.1,1,54348,29.6
