date,agg_liq,innov_liq,traded_liq
1962-08-31,-0.01753665,0.00426023,
1962-09-30,-0.00407476,0.01175717,
1962-10-31,-0.10421182,-0.0741278,
1962-11-30,-0.0197417,0.02857193,
1962-12-31,-0.00508932,0.01303725,
1963-01-31,-0.05579688,0.00992806,
1963-02-28,0.01440415,0.02554344,
1963-03-31,-0.02345353,-0.02017934,
1963-04-30,0.05413256,0.07845333,
1963-05-31,0.00354149,-0.01295515,
1963-06-30,0.00959259,0.00034782,
1963-07-31,0.01432622,0.02073508,
1963-08-31,0.03377117,0.03894505,
1963-09-30,-0.00754051,0.02034092,
1963-10-31,0.02680674,0.03269365,
1963-11-30,-0.05313628,-0.0598239,
1963-12-31,-0.02057456,0.01384531,
1964-01-31,-0.07136865,-0.05522603,
1964-02-29,-0.02474947,0.01310928,
1964-03-31,0.03138953,0.04168926,
1964-04-30,-0.04066632,-0.02743579,
1964-05-31,-0.02572531,-0.00604819,
1964-06-30,-0.05656731,-0.01058522,
1964-07-31,0.05819052,0.056119,
1964-08-31,-0.04851473,-0.04423397,
1964-09-30,-0.00816173,0.01321209,
1964-10-31,0.01293438,0.03819936,
1964-11-30,0.01488576,-0.00409924,
1964-12-31,-0.02673007,-0.01310561,
1965-01-31,0.03792484,0.07040682,
1965-02-28,-0.01642848,0.02177063,
1965-03-31,0.03397015,0.01750695,
1965-04-30,0.02236123,0.04106733,
1965-05-31,-0.01294328,0.03416844,
1965-06-30,-0.16340986,-0.11285885,
1965-07-31,-0.0809777,-0.04969833,
1965-08-31,-0.03474854,0.07147652,
1965-09-30,0.02700284,0.06113595,
1965-10-31,0.0061957,-0.02526034,
1965-11-30,0.04447103,0.06718164,
1965-12-31,0.04087982,0.02404056,
1966-01-31,0.03997342,0.02265434,
1966-02-28,0.03502076,0.04606175,
1966-03-31,-0.06624631,-0.06503657,
1966-04-30,0.02544957,0.05502647,
1966-05-31,-0.12120717,-0.07872599,
1966-06-30,-0.05336572,-0.01258475,
1966-07-31,-0.03300131,0.00690045,
1966-08-31,-0.1066685,-0.08649144,
1966-09-30,-0.08782498,-0.04527971,
1966-10-31,-0.20654128,-0.08514696,
1966-11-30,-0.05410496,0.04746479,
1966-12-31,-0.02167905,0.04354121,
1967-01-31,-0.0274085,0.01207982,
1967-02-28,-0.0725804,0.0144067,
1967-03-31,-0.00863176,0.03439735,
1967-04-30,-0.00152597,0.0188569,
1967-05-31,0.01392227,0.02423295,
1967-06-30,-0.06198466,-0.04843185,
1967-07-31,-0.02837509,0.01410713,
1967-08-31,0.02907304,0.06927702,
1967-09-30,0.02354394,0.03009158,
1967-10-31,-0.03053991,-0.04139511,
1967-11-30,-0.03066846,-0.01121177,
1967-12-31,0.00159134,0.03366738,
1968-01-31,-0.02152331,0.00218847,-0.02540564
1968-02-29,-0.03459893,-0.01898003,0.02213928
1968-03-31,-0.11694312,-0.08224146,0.00838539
1968-04-30,0.02245332,0.08741183,0.00504472
1968-05-31,-0.02061391,0.00915999,-0.01514423
1968-06-30,0.00822169,0.03293168,-0.00026051
1968-07-31,-0.01049623,0.00812572,-0.03551518
1968-08-31,-0.02019994,-0.00835085,0.00505116
1968-09-30,-0.00870728,0.01449588,0.01300449
1968-10-31,0.00660634,0.02635902,-0.00071775
1968-11-30,-0.00022576,0.01577502,-0.00615564
1968-12-31,-0.02857454,-0.01048903,0.01175393
1969-01-31,-0.03378834,-0.00746166,0.0226017
1969-02-28,-0.02503033,0.01100625,0.05643482
1969-03-31,-0.02256855,0.00649062,-0.01703415
1969-04-30,-0.01274491,0.00901991,0.01674071
1969-05-31,0.01158629,0.04595286,0.00647644
1969-06-30,-0.04735751,-0.03898224,0.05729539
1969-07-31,-0.12262451,-0.09145427,0.03244715
1969-08-31,-0.08789095,-0.04628087,-0.01348752
1969-09-30,0.01326256,0.08908592,0.0204174
1969-10-31,-0.06038219,-0.02637887,-0.0564257
1969-11-30,0.01656733,0.0403775,0.03169597
1969-12-31,-0.01985261,-0.02550906,0.02600825
1970-01-31,-0.11018564,-0.0672924,0.02194959
1970-02-28,-0.08139629,-0.01059508,-0.05988703
1970-03-31,-0.13845301,-0.06527396,0.00277473
1970-04-30,-0.09427155,-0.03056251,0.03971232
1970-05-31,-0.24058807,-0.19801369,-0.07777586
1970-06-30,-0.18762334,-0.13903036,-0.03616947
1970-07-31,-0.01379573,0.06215094,-0.00137115
1970-08-31,-0.06668893,0.00612991,0.00208282
1970-09-30,-0.06687556,-0.0146536,-0.01567859
1970-10-31,0.09627156,0.09583372,-0.01643634
1970-11-30,-0.05985976,-0.04611322,-0.00559368
1970-12-31,-0.07305842,-0.01492579,0.0499248
1971-01-31,0.01775836,0.04219694,-0.04014598
1971-02-28,-0.06448822,-0.03759379,-0.0176319
1971-03-31,0.03170128,0.06231096,0.0186374
1971-04-30,-0.00998386,0.00623843,0.02572797
1971-05-31,-0.01940864,-0.02614297,0.00384779
1971-06-30,-0.04414564,-0.01226135,-0.04189905
1971-07-31,-0.10142122,-0.03329859,-0.00583513
1971-08-31,-0.04506715,-0.00820472,0.0246999
1971-09-30,0.01980991,0.06000456,0.00327777
1971-10-31,-0.05637401,-0.01298837,0.0322038
1971-11-30,-0.09198767,-0.03768001,0.00706075
1971-12-31,0.00850009,0.04631837,-0.00224165
1972-01-31,-0.09412266,-0.08227379,-0.03669286
1972-02-29,-0.03060037,0.01702139,0.0096974
1972-03-31,-0.01137246,0.02372449,0.03382246
1972-04-30,-0.00295654,0.01783986,0.01401382
1972-05-31,-0.06445359,-0.04317672,-0.00251954
1972-06-30,0.006108,0.00315226,0.01461396
1972-07-31,-0.08959187,-0.0673358,0.01614596
1972-08-31,0.01435214,0.0219432,-0.02701586
1972-09-30,-0.01895737,0.0257007,-0.01634573
1972-10-31,-0.03986215,-0.02359949,-0.01902972
1972-11-30,-0.01686769,-0.03252137,-0.00816412
1972-12-31,-0.07355568,-0.03559123,0.00900269
1973-01-31,-0.05781599,-0.0279323,-0.01481267
1973-02-28,-0.04853245,0.02652919,-0.01084836
1973-03-31,-0.03054217,-0.01465186,-0.01272228
1973-04-30,-0.04049684,-0.01065414,0.02311953
1973-05-31,-0.11534552,-0.06494609,-0.00270427
1973-06-30,-0.20033228,-0.16597537,-0.03230874
1973-07-31,-0.0961258,-0.01061242,0.00247033
1973-08-31,-0.09691967,-0.02984502,0.01591954
1973-09-30,-0.12374937,-0.00519418,0.01708394
1973-10-31,-0.05408999,0.02152019,-0.04304216
1973-11-30,-0.30250782,-0.24126907,-0.02651634
1973-12-31,-0.13258622,-0.08207279,-0.01679927
1974-01-31,-0.16222705,-0.07069505,0.10075292
1974-02-28,-0.1208904,-0.05709616,0.03963822
1974-03-31,-0.0012885,0.1115185,0.0436155
1974-04-30,-0.04192028,-0.00061953,0.02164613
1974-05-31,-0.10176336,-0.08413003,0.06053269
1974-06-30,-0.06936954,-0.06555384,-0.00694888
1974-07-31,-0.23115673,-0.13709725,-0.00457639
1974-08-31,-0.1018596,-0.06543558,-0.03129645
1974-09-30,-0.11031084,-0.06914572,0.0228032
1974-10-31,-0.08565812,0.00514079,-0.0727949
1974-11-30,-0.08357406,0.03157549,-0.02532073
1974-12-31,-0.10467737,-0.04452108,0.0192895
1975-01-31,-0.11363563,-0.07797004,0.10876389
1975-02-28,-0.07571968,0.01660312,0.03662677
1975-03-31,-0.1307254,0.00338409,0.05969079
1975-04-30,0.00011554,0.03224744,0.00217849
1975-05-31,-0.06664547,-0.0130431,-0.03349678
1975-06-30,0.02342901,0.02365535,-0.01748245
1975-07-31,-0.05962827,-0.02770742,-0.00961332
1975-08-31,-0.12755964,-0.12151072,-0.00855122
1975-09-30,-0.08967729,-0.05371282,-0.01921566
1975-10-31,-0.06496285,0.02349867,0.09069118
1975-11-30,0.00741821,0.02576334,0.03623193
1975-12-31,-0.02442816,-0.02112392,-0.00279676
1976-01-31,-0.06026916,-0.0341571,0.01930918
1976-02-29,-0.01850114,0.05049111,-0.04225125
1976-03-31,-0.01869402,0.00703682,-0.01797504
1976-04-30,-0.02836403,-0.0481612,-0.01965143
1976-05-31,-0.09013978,-0.08662256,-0.04059278
1976-06-30,-0.0649523,-0.02378097,-0.00572528
1976-07-31,-0.09137023,-0.05532443,-0.02705599
1976-08-31,-0.01515904,0.030617,0.01794591
1976-09-30,-0.03775239,0.0162617,-0.01542257
1976-10-31,-0.08540734,-0.04511173,0.0038574
1976-11-30,-0.08199193,-0.02231675,-0.02387473
1976-12-31,-0.02567946,0.05364359,-0.01240966
1977-01-31,-0.06248706,-0.04668238,-0.03064272
1977-02-28,-0.00039705,0.03595656,-0.00984019
1977-03-31,-0.05633423,0.03099661,0.01079852
1977-04-30,-0.01072185,-0.01088252,-0.02492795
1977-05-31,-0.03332456,-0.01424823,0.01811865
1977-06-30,-0.00864341,0.01659435,0.02199312
1977-07-31,-0.04816932,-0.01419674,0.00119646
1977-08-31,-0.0441222,0.00480498,0.03132657
1977-09-30,-0.04748178,-0.02287519,0.01051654
1977-10-31,-0.03260695,-0.00235983,-0.01108198
1977-11-30,-0.01279571,0.0276747,0.00253713
1977-12-31,0.02084873,0.03467577,-0.00612393
1978-01-31,-0.04222258,-0.00606955,0.00672525
1978-02-28,-0.01929822,0.01289275,0.00010469
1978-03-31,-0.0104943,0.00252448,0.01720571
1978-04-30,-0.00780383,0.01903098,0.03084663
1978-05-31,0.01785201,0.0214176,0.01378779
1978-06-30,0.01073519,0.0138809,0.01089029
1978-07-31,-0.04349239,-0.03529967,0.03138675
1978-08-31,0.02096417,0.03706112,-0.00088631
1978-09-30,-0.00570674,-0.01203227,-0.02730711
1978-10-31,-0.10828928,-0.10112881,0.04280582
1978-11-30,-0.07491575,-0.03138026,-0.0316212
1978-12-31,-0.03422058,0.03485781,0.00199465
1979-01-31,-0.01441439,0.0233699,-0.01029938
1979-02-28,-0.03296427,0.00704158,-0.02811765
1979-03-31,-0.04381288,0.02120265,-0.00695441
1979-04-30,0.00478602,0.05418626,0.01849867
1979-05-31,-0.08102735,-0.04714965,-0.02188811
1979-06-30,-0.01188102,0.02334622,-0.01669465
1979-07-31,0.02263794,0.06015749,-0.01719865
1979-08-31,0.01305124,0.03619616,0.01475767
1979-09-30,-0.07426784,-0.06311289,-0.00978073
1979-10-31,-0.15447257,-0.10346842,-0.00030052
1979-11-30,-0.03883258,0.00646773,-0.06750272
1979-12-31,-0.00920058,0.02346051,-0.01807817
1980-01-31,-0.05958447,-0.01965,0.00013109
1980-02-29,-0.09784091,-0.04287413,0.02114945
1980-03-31,-0.14193797,-0.08765149,0.02794556
1980-04-30,-0.05117316,-0.03126941,-0.01240179
1980-05-31,0.03284126,0.0777708,-0.0078206
1980-06-30,-0.01566887,0.00194068,0.01010759
1980-07-31,-0.03519602,-0.01617692,-0.00569326
1980-08-31,0.00723605,0.05266263,0.01373905
1980-09-30,-0.04758752,-0.0178554,0.00919783
1980-10-31,-0.01239088,0.03535165,0.02758604
1980-11-30,-0.02423485,0.00232816,0.03062221
1980-12-31,-0.05639616,-0.01327018,0.02748807
1981-01-31,-0.022955,0.0034206,0.03893398
1981-02-28,-0.00758953,0.00034249,0.00211983
1981-03-31,-0.02136465,0.01374299,0.01393817
1981-04-30,-0.02810852,0.01004741,-0.01912218
1981-05-31,0.00737341,0.02848178,-0.02798762
1981-06-30,0.00168118,0.03064747,0.06094841
1981-07-31,-0.017635,0.01109223,-0.01241394
1981-08-31,-0.07670137,-0.04363144,-0.00142182
1981-09-30,-0.15284444,-0.12054939,0.09223195
1981-10-31,-0.04551135,-0.00273176,-0.02465792
1981-11-30,-0.03161579,-0.01471995,0.06060739
1981-12-31,-0.0235872,0.0267523,0.00907384
1982-01-31,-0.06997584,-0.05910923,-0.01978417
1982-02-28,-0.12230555,-0.0814414,-0.01144574
1982-03-31,-0.03094867,0.00851825,0.04354018
1982-04-30,0.00482292,0.04279473,-0.02399156
1982-05-31,-0.00252187,-0.00817016,0.02935751
1982-06-30,-0.01252549,0.02103224,0.04970968
1982-07-31,0.01259311,0.01760311,-0.01586295
1982-08-31,-0.05756179,-0.03623635,-0.00509109
1982-09-30,-0.02623568,0.02473437,0.04186289
1982-10-31,-0.04193409,-0.00711896,-0.03783243
1982-11-30,-0.0044995,0.02790299,0.01049033
1982-12-31,0.00074378,0.02910216,-0.03135686
1983-01-31,-0.02964785,0.00189792,-0.05475749
1983-02-28,0.00812041,0.03929395,-0.0312086
1983-03-31,-0.04766193,-0.02657642,0.04017853
1983-04-30,-0.00471343,0.02548735,0.03559141
1983-05-31,-0.07871142,-0.04699125,0.0181668
1983-06-30,-0.00339973,0.04808618,0.00092081
1983-07-31,-0.04793408,-0.02564099,0.04384996
1983-08-31,-0.04234025,-0.00988485,0.04344734
