lag,beta,tstat,nobs
1,0.05049276895400874,2.594235891152802,13812
2,0.01566454915753643,0.9175730833010063,13755
3,0.0272268348594038,1.741359832277258,13698
4,-0.014297455009956462,-1.0152932703010726,13641
5,-0.01822176284518706,-1.1158632246971447,13584
6,0.00478269167878922,0.2874790973260857,13527
7,-0.00024792243587534155,-0.015749508162575192,13470
8,-3.7202263595409694e-05,-0.0023424840519357297,13413
9,0.010539782110543,0.7403384544359528,13356
10,0.03637927783078238,2.2339462412394337,13299
11,0.04797044652601847,2.841956031265259,13242
12,0.011535312778140046,0.7183535250601539,13185
13,-0.050736177719785516,-3.0086064009310514,13128
14,-0.01726238861570692,-1.1882616312727095,13071
15,-0.04701337947322076,-2.7958217809896646,13014
16,-0.030650905774124815,-1.6867934996401426,12957
17,-0.004103236149286182,-0.2830302524467899,12900
18,-0.019123567545229925,-1.3457414713089177,12843
19,-0.011487001381464476,-0.7585658304096058,12786
20,-0.0014603613710674256,-0.09314926685859022,12729
21,-0.002330615418471324,-0.15081143726962778,12672
22,-0.008180013004813885,-0.5107525694746725,12615
23,-0.0016274119015983884,-0.100062004523602,12558
24,0.010100052125239695,0.6914190798011219,12501
25,0.006677085894785767,0.4509538742503955,12444
26,0.0073112543054109245,0.4704522612878753,12387
27,0.006955935578202465,0.4118687989426123,12330
28,-0.03580110566276442,-2.243280955672459,12273
29,-0.027602890272486934,-1.920383551947331,12216
30,-0.010585952232964796,-0.621597042488685,12159
31,-0.008656615634548991,-0.496453709643275,12102
32,-0.03114064722709624,-1.9331255969467485,12045
33,0.008296504294585519,0.48339052698058377,11988
34,-0.0077081182250071795,-0.49954493092798447,11931
35,0.012236246528418227,0.8644085247310404,11874
36,0.023385535859888215,1.3988785081594577,11817
37,-0.02437011096541518,-1.4276159993322042,11760
38,-0.03355781468714709,-2.092766673205076,11703
39,-0.001941835108126768,-0.12074503006067933,11646
40,-0.020713176860610725,-1.3237001012534504,11589
41,-0.02244824212075284,-1.3984820738173667,11532
42,0.011688349311236808,0.7899865410353263,11475
43,0.00497739142169838,0.26368325975482887,11418
44,-0.008338318445054272,-0.5550874540578165,11361
45,0.00024053058138261295,0.014173159557933225,11305
46,0.014007217786096628,0.7949006695107332,11249
47,0.010374281799530103,0.6378479362433852,11193
48,0.004648394567720429,0.2772156010250731,11137
49,0.0005455162633272056,0.031124581114773578,11082
50,0.010384627343204821,0.6885828787121434,11027
51,-0.0021540308897996232,-0.13422359569250786,10972
52,-0.00305802822494998,-0.19537301106460392,10917
53,0.012746028164792299,0.791737087674945,10862
54,-0.019645204897785373,-1.2349303641631317,10807
55,-0.05778676181818533,-3.5613127827660085,10752
56,-0.01065696755070605,-0.621466632553138,10697
57,-0.01287412232448178,-0.7956430512279324,10642
58,-0.04162503700567068,-2.463486495372988,10587
59,0.0007640502987787245,0.04548706433974732,10532
60,0.04377001997895039,2.7907682615873277,10477
