lag,beta,tstat,nobs
1,0.02677232923471657,2.484581273710444,3127
2,-0.0025575541313237428,-0.2378467008349568,3127
3,0.012417240425446275,1.2128969873982591,3127
4,-0.0038966256327292513,-0.34172218888019923,3121
5,-0.010417380925094095,-0.9388515708185916,3108
6,0.010879926799692158,0.9503181571764971,3095
7,0.0017573863898144376,0.15579468325226034,3082
8,0.013123958666640085,1.1705827695519346,3069
9,0.01211558887515781,1.1607314826582698,3056
10,-0.0013520887981855363,-0.1206839170193027,3043
11,0.004269386190281421,0.3782610839389695,3030
12,0.008524934377060346,0.7822014222525573,3017
13,-0.01902210615771653,-1.7293262256454123,3004
14,-0.014110580986817573,-1.2777230160094712,2991
15,-0.005412046475746435,-0.48860847427938753,2978
16,-0.004817952310832053,-0.4331303202366047,2965
17,-0.005083614226969605,-0.4432390767290026,2952
18,-0.013239845339100978,-1.19315755510782,2939
19,-0.01032689383700221,-0.9063949471804849,2926
20,-0.007338123720098421,-0.6581646594437816,2913
21,-0.0009020600481437074,-0.07763821994891028,2900
22,-0.006570905570159804,-0.5400424855195426,2887
23,0.011477295223523013,0.9398778153534395,2874
24,-0.0018254173916384057,-0.15865428789864977,2861
25,-0.005370795817606149,-0.5354992583564008,2848
26,-0.004037573280891376,-0.36088099754212394,2835
27,0.005755551774514137,0.4952172007122029,2822
28,0.004341918765795196,0.3842834831042672,2809
29,-0.021122874356219505,-1.8467609877719446,2796
30,-0.001226290869762584,-0.10197394877915338,2783
31,-0.01052842034573523,-0.9276322415894498,2770
32,-0.016607149004502202,-1.4177786980839495,2757
33,0.01293927000488353,1.0990412960580718,2745
34,-0.001992166482078752,-0.1643354102482418,2732
35,0.003911068294924952,0.3679765422284119,2719
36,0.020957514466500127,1.778372023285912,2706
37,-0.023122290699934094,-1.9789870414479667,2693
38,-0.027737475537719058,-2.421303891079146,2680
39,-0.0011058542387992203,-0.09353167552818363,2667
40,-0.019167985062925972,-1.6143406590291254,2654
41,-0.014775112930021,-1.265190151028622,2641
42,0.006407663231005629,0.5733424339530999,2628
43,-0.00029778308588740453,-0.02408468292770521,2615
44,-0.005495417836503608,-0.47929438409659053,2602
45,-0.0045670373320413,-0.35841032168832604,2589
46,0.006187940139383939,0.5165325361395494,2576
47,-0.0021733993134144896,-0.17867186723789155,2563
48,-0.00761316807540176,-0.6327913588369825,2550
49,0.006763900026651236,0.5920821944001358,2537
50,0.00834832796284236,0.7144053046626502,2524
51,-0.001325076021887892,-0.11004457718712797,2511
52,-0.004637427595645381,-0.3863736763746916,2498
53,-0.00031027156425679573,-0.024155755934521194,2485
54,-0.007949815355857443,-0.695418284161614,2472
55,-0.014972536219855384,-1.225503254771232,2459
56,-0.018683843536977805,-1.5678024407186952,2446
57,0.008332077840606644,0.6995126662678167,2433
58,-0.009618394316469853,-0.7910446721894034,2420
59,0.01374447973908838,1.2250487136566284,2407
60,0.02343112439068139,2.0072966887498236,2394
