lag,beta,tstat,nobs
1,0.012167719641747793,1.0818307428458682,1894
2,0.018831398869193185,1.5769126804335463,1894
3,0.015145201217255452,1.2855892837992358,1894
4,0.018697203505580223,1.6836435093791993,1891
5,0.004721039675263797,0.40883721051958505,1882
6,0.016008155915113415,1.3305430043844353,1873
7,0.01196709232699088,1.028977661765412,1864
8,0.01461399075552658,1.298386215691155,1855
9,0.020500608487706344,1.8262612512487522,1846
10,0.016193479768826343,1.3398557362985626,1837
11,0.01715158050128722,1.4721424472654938,1828
12,0.0048992311934256206,0.42264699210372697,1819
13,0.0036211395531948764,0.3143606773482448,1810
14,0.012956666582353745,1.1709591544158895,1801
15,-0.0066950785694769,-0.5870835924675843,1792
16,0.005666382241803173,0.4759596669183823,1783
17,-0.008524772569196927,-0.7638853633474803,1774
18,-0.004343450254776795,-0.40010254433297826,1765
19,0.02055340518173299,1.868084922305258,1756
20,-0.001529231908091502,-0.13158991068243447,1747
21,-0.00952080383989077,-0.8863886978834522,1738
22,-0.002318597351703633,-0.2030566986631058,1729
23,-0.0007881266093355526,-0.07501271376091108,1720
24,-0.0017140969836237363,-0.1583208937704222,1711
25,0.018491120844854412,1.547134600647721,1702
26,-0.001715113990259263,-0.14598537535965414,1693
27,0.011524589706444582,0.9732646541040861,1684
28,-0.004170622343705752,-0.34944180763994626,1675
29,0.00029414177453264114,0.024149215562111626,1666
30,-0.014692758270027716,-1.2990752397111716,1657
31,-0.009924688524322515,-0.8680649660487172,1648
32,-0.017283985652815487,-1.441154273328477,1639
33,-0.010741698218979398,-0.820465484863465,1630
34,-0.0008545174751060281,-0.07131503001668858,1621
35,0.002959517940033464,0.24182313053582152,1612
36,-0.013259315524083087,-1.0489831419296392,1603
37,-0.02537077084777578,-2.0119909524327646,1594
38,-0.000511337660574183,-0.04140063019390821,1585
39,-0.013108442808968647,-1.095875307755923,1576
40,-0.015292347274544532,-1.218491341962811,1567
41,-0.009365869846357285,-0.752165145252733,1558
42,-0.0004729698350136138,-0.0373055735205169,1549
43,-0.013795319767385815,-1.1456051756793806,1540
44,-0.010625492498999543,-0.8691809506848005,1531
45,-0.02158653334079387,-1.8465861285029648,1522
46,-0.002495929044047723,-0.18978974646113148,1513
47,0.01840316731381961,1.3640060346359375,1505
48,-0.014216482061931695,-1.2045459510975614,1496
49,-0.0018023631282005617,-0.14185216907064543,1487
50,-0.004257065883782942,-0.34145803755085824,1478
51,-0.026147001765170597,-2.058800141519747,1469
52,-0.004496222261552958,-0.34990340800400466,1460
53,-0.013731704117722746,-1.101435767797396,1451
54,-0.007079068883339468,-0.5903675083774931,1442
55,-0.016721768517508034,-1.3826506913118406,1433
56,-0.02756271658824578,-2.229870882810113,1424
57,-0.010208413748989469,-0.8419809091761746,1415
58,-0.016865320716162577,-1.3391752447792198,1406
59,-0.0005574638757041348,-0.04236438512745507,1397
60,-0.0023572245451755035,-0.18322182567974282,1388
