Asset class,Instrument,Ticker,Start,Ann. mean,Ann. vol,N months
Commodity,Aluminum,LMAHDS03 Comdty,1985-01,0.0347,0.1977,300
Commodity,Brent Crude,CO1 Comdty,1985-01,0.1606,0.3253,300
Commodity,Cocoa,CC1 Comdty,1985-01,0.0531,0.2950,300
Commodity,Coffee,KC1 Comdty,1985-01,0.0851,0.3855,300
Commodity,Copper,LMCADS03 Comdty,1985-01,0.0970,0.2542,300
Commodity,Corn,C 1 Comdty,1985-01,0.0543,0.2583,300
Commodity,Cotton,CT1 Comdty,1985-01,0.0419,0.2664,300
Commodity,Gas Oil,QS1 Comdty,1985-01,0.1633,0.3101,300
Commodity,Gold,GC1 Comdty,1985-01,0.0617,0.1499,300
Commodity,Heating Oil,HO1 Comdty,1985-01,0.2622,0.3667,300
Commodity,Lean Hogs,LH1 Comdty,1985-01,0.0664,0.2607,300
Commodity,Live Cattle,LC1 Comdty,1985-01,0.0783,0.1553,300
Commodity,Natural Gas,NG1 Comdty,1985-01,0.0960,0.5507,300
Commodity,Nickel,LMNIDS03 Comdty,1985-01,0.1577,0.4218,300
Commodity,Platinum,PL1 Comdty,1985-01,0.0952,0.2225,300
Commodity,RBOB Gasoline,XB1 Comdty,1985-01,0.0254,0.1871,300
Commodity,Silver,SI1 Comdty,1985-01,0.0704,0.2622,300
Commodity,Soy Meal,SM1 Comdty,1985-01,0.1566,0.2745,300
Commodity,Soy Oil,BO1 Comdty,1985-01,0.0660,0.2576,300
Commodity,Soybeans,S 1 Comdty,1985-01,0.1338,0.2334,300
Commodity,Sugar,SB1 Comdty,1985-01,0.0587,0.3587,300
Commodity,Unleaded Gasoline,HU1 Comdty,1985-01,0.2067,0.3733,300
Commodity,WTI Crude,CL1 Comdty,1985-01,0.1657,0.3700,300
Commodity,Wheat,W 1 Comdty,1985-01,0.1027,0.2783,300
Commodity,Zinc,LMZSDS03 Comdty,1985-01,0.0425,0.2216,300
Equity,AEX (NL),EO1 Index,1985-01,0.0592,0.1854,300
Equity,ASX SPI 200 (AUS),XP1 Index,1985-01,0.0212,0.0843,300
Equity,CAC 40 (FR),CF1 Index,1985-01,0.0555,0.1799,300
Equity,DAX (GER),GX1 Index,1985-01,0.0737,0.1886,300
Equity,FTSE 100 (UK),Z 1 Index,1985-01,0.0546,0.1422,300
Equity,FTSE/MIB (IT),ST1 Index,1985-01,0.0007,0.0961,300
Equity,IBEX 35 (ES),IB1 Index,1985-01,0.0825,0.1795,300
Equity,S&P 500 (US),SP1 Index,1985-01,0.0878,0.1566,300
Equity,TOPIX (JP),TP1 Index,1985-01,-0.0233,0.1778,300
Bond,10Y AUS,XM1 Comdty,1985-01,0.0180,0.0792,300
Bond,10Y CAN,CN1 Comdty,1985-01,0.0101,0.0659,300
Bond,10Y EURO (Bund),RX1 Comdty,1985-01,0.0161,0.0447,300
Bond,10Y JP,JB1 Comdty,1985-01,0.0144,0.0591,300
Bond,10Y UK (Gilt),G 1 Comdty,1985-01,0.0074,0.0928,300
Bond,10Y US,TY1 Comdty,1985-01,0.0175,0.0735,300
Bond,2Y EURO (Schatz),DU1 Comdty,1985-01,0.0016,0.0105,300
Bond,2Y US,TU1 Comdty,1985-01,0.0039,0.0182,300
Bond,30Y EURO (Buxl),UB1 Comdty,1985-01,-0.0048,0.0760,300
Bond,30Y US,US1 Comdty,1985-01,0.0255,0.1103,300
Bond,3Y AUS,YM1 Comdty,1985-01,0.0069,0.0250,300
Bond,5Y EURO (Bobl),OE1 Comdty,1985-01,0.0100,0.0292,300
Bond,5Y US,FV1 Comdty,1985-01,0.0080,0.0449,300
Currency,AUD/CAD,AUD/CAD Cross,1985-01,0.0080,0.0716,300
Currency,AUD/CHF,AUD/CHF Cross,1985-01,0.0218,0.0979,300
Currency,AUD/EUR,AUD/EUR Cross,1985-01,0.0146,0.0814,300
Currency,AUD/GBP,AUD/GBP Cross,1985-01,0.0097,0.0865,300
Currency,AUD/JPY,AUD/JPY Cross,1985-01,0.0351,0.1215,300
Currency,AUD/NOK,AUD/NOK Cross,1985-01,0.0044,0.0852,300
Currency,AUD/NZD,AUD/NZD Cross,1985-01,0.0005,0.0397,300
Currency,AUD/SEK,AUD/SEK Cross,1985-01,0.0096,0.0393,300
Currency,CAD/CHF,CAD/CHF Cross,1985-01,0.0061,0.1092,300
Currency,CAD/EUR,CAD/EUR Cross,1985-01,-0.0021,0.0963,300
Currency,CAD/GBP,CAD/GBP Cross,1985-01,-0.0033,0.0910,300
Currency,CAD/JPY,CAD/JPY Cross,1985-01,0.0100,0.1167,300
